fast
dumb
quiet
hot
dirty
hard
happy
long
lucky
cold
smart
loud
big
sick
poor
rich
warm
expensive
thin
slow
funny
beautiful
small
tall
young
old
short
weak
fearful
brave
unlucky
kind
cruel
ugly
clean
soft
short
light
sad
heavy
cheap
dark
bright
serious
healthy
happy
thick
sad
strong
cool
